Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Mallard,nan,221,89,50,95,65,nan,Sep,104,104,nan
Canada Goose,nan,70,24,22,14,3,nan,Feb,27,27,nan
Goosander,nan,23,12,9,20,44,nan,Mar,22,22,nan
Teal,nan,45,17,0,8,1,nan,Sep,14,14,nan
Gadwall,nan,0,0,0,34,0,nan,nan,7,7,nan
Hybrid goose,nan,3,3,4,3,2,nan,Oct,3,3,nan
Tufted Duck,nan,0,1,0,5,4,nan,Dec,2,2,nan
Wigeon,nan,0,0,0,9,0,nan,nan,2,2,nan
Pochard,nan,0,5,1,1,1,nan,Jan,2,2,nan
Shoveler,nan,0,0,7,0,0,nan,nan,1,1,nan
Goldeneye,nan,2,0,2,0,2,nan,Feb,1,1,nan
Muscovy Duck,nan,0,1,1,1,0,nan,nan,1,1,nan
Mute Swan,nan,1,0,0,1,0,nan,nan,0,0,nan
Pink-footed Goose,nan,0,0,1,0,0,nan,nan,0,0,nan
Common Scoter,nan,0,0,0,0,0,nan,nan,0,0,nan
Scaup,nan,0,0,0,0,0,nan,nan,0,0,nan
Pintail,nan,0,0,0,0,0,nan,nan,0,0,nan
Mandarin Duck,nan,0,0,0,0,0,nan,nan,0,0,nan
Shelduck,nan,0,0,0,0,0,nan,nan,0,0,nan
Whooper Swan,nan,0,0,0,0,0,nan,nan,0,0,nan
Swan Goose,nan,0,0,0,0,0,nan,nan,0,0,nan
Domestic Greylag Goose,nan,0,0,0,0,0,nan,nan,0,0,nan
Greylag Goose (British/Irish),nan,0,0,0,0,0,nan,nan,0,0,nan
Greylag Goose,nan,0,0,0,0,0,nan,nan,0,0,nan
Barnacle Goose (Svalbard),nan,0,0,0,0,0,nan,nan,0,0,nan
Barnacle Goose (Greenland),nan,0,0,0,0,0,nan,nan,0,0,nan
Barnacle Goose (naturalised),nan,0,0,0,0,0,nan,nan,0,0,nan
Barnacle Goose,nan,0,0,0,0,0,nan,nan,0,0,nan
END,END,END,END,END,END,END,END,END,END
