Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Mallard,nan,664,428,380,544,350,nan,Aug,473,473,nan
Shoveler,nan,0,3,5,6,9,nan,Nov,5,5,nan
Canada Goose,nan,0,2,2,10,2,nan,Jan,3,3,nan
Tufted Duck,nan,0,1,2,2,0,nan,nan,1,1,nan
Mandarin Duck,nan,0,3,0,0,2,nan,Mar,1,1,nan
Teal,nan,0,4,0,0,0,nan,nan,1,1,nan
Gadwall,nan,0,0,0,0,2,nan,Jan,0,0,nan
Shelduck,nan,0,0,1,0,1,nan,Mar,0,0,nan
Egyptian Goose,nan,0,0,2,0,0,nan,nan,0,0,nan
Mute Swan,nan,0,0,0,0,2,nan,Jun,0,0,nan
Pochard,nan,0,0,0,0,0,nan,nan,0,0,nan
Wigeon,nan,0,0,0,0,0,nan,nan,0,0,nan
END,END,END,END,END,END,END,END,END,END
