Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Pochard,nan,nan,nan,0,103,194,nan,Jan,99,99,nan
Canada Goose,nan,nan,nan,0,44,188,nan,Sep,77,77,nan
Tufted Duck,nan,nan,nan,31,42,62,nan,Jan,45,45,nan
Mallard,nan,nan,nan,10,33,43,nan,Jun,29,29,nan
Greylag Goose (British/Irish),nan,nan,nan,9,19,26,nan,Jun,18,18,nan
Greylag Goose,nan,nan,nan,9,19,26,nan,Jun,18,18,nan
Teal,nan,nan,nan,0,26,15,nan,Oct,14,14,nan
Wigeon,nan,nan,nan,0,27,13,nan,Jan,13,13,nan
Gadwall,nan,nan,nan,0,17,19,nan,Jan,12,12,nan
Mute Swan,nan,nan,nan,4,6,21,nan,Mar,10,10,nan
Shoveler,nan,nan,nan,0,18,12,nan,Nov,10,10,nan
Shelduck,nan,nan,nan,0,1,0,nan,nan,0,0,nan
END,END,END,END,END,END,END,END,END,END
