Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Tufted Duck,nan,16,nan,nan,25,34,nan,Oct,25,25,nan
Greylag Goose,nan,6,nan,nan,5,15,nan,Mar,9,9,nan
Mallard,nan,4,nan,nan,14,5,nan,May,8,8,nan
Greylag Goose (Icelandic),nan,0,nan,nan,5,15,nan,Mar,7,7,nan
Greylag Goose (British/Irish),nan,6,nan,nan,3,10,nan,May,6,6,nan
Mute Swan,nan,6,nan,nan,4,4,nan,Nov,5,5,nan
Wigeon,nan,0,nan,nan,9,1,nan,Nov,3,3,nan
Goosander,nan,0,nan,nan,4,1,nan,Jan,2,2,nan
Goldeneye,nan,0,nan,nan,2,1,nan,Jan,1,1,nan
Domestic Mallard,nan,2,nan,nan,0,0,nan,nan,1,1,nan
Canada Goose,nan,0,nan,nan,2,0,nan,nan,1,1,nan
Ruddy Duck,nan,0,nan,nan,0,0,nan,nan,0,0,nan
Smew,nan,0,nan,nan,0,0,nan,nan,0,0,nan
Pochard,nan,0,nan,nan,0,0,nan,nan,0,0,nan
Teal,nan,0,nan,nan,0,0,nan,nan,0,0,nan
Shoveler,nan,0,nan,nan,0,0,nan,nan,0,0,nan
Whooper Swan,nan,0,nan,nan,0,0,nan,nan,0,0,nan
Pink-footed Goose,nan,0,nan,nan,0,0,nan,nan,0,0,nan
Domestic Greylag Goose,nan,0,nan,nan,0,0,nan,nan,0,0,nan
Barnacle Goose (Svalbard),nan,0,nan,nan,0,0,nan,nan,0,0,nan
Barnacle Goose (Greenland),nan,0,nan,nan,0,0,nan,nan,0,0,nan
Barnacle Goose (naturalised),nan,0,nan,nan,0,0,nan,nan,0,0,nan
Barnacle Goose,nan,0,nan,nan,0,0,nan,nan,0,0,nan
END,END,END,END,END,END,END,END,END,END
