Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Mallard,nan,106,50,292,131,119,nan,Nov,140,140,nan
Canada Goose,nan,88,4,2,65,2,nan,Apr,32,32,nan
Tufted Duck,nan,12,22,18,10,11,nan,Sep,15,15,nan
Gadwall,nan,4,6,22,0,0,nan,nan,6,6,nan
Mute Swan,nan,1,3,3,0,3,nan,Apr,2,2,nan
Shoveler,nan,0,3,6,0,0,nan,nan,2,2,nan
Teal,nan,1,0,0,1,0,nan,nan,0,0,nan
Ruddy Duck,nan,0,0,0,0,0,nan,nan,0,0,nan
Goosander,nan,0,0,0,0,0,nan,nan,0,0,nan
Goldeneye,nan,0,0,0,0,0,nan,nan,0,0,nan
Pochard,nan,0,0,0,0,0,nan,nan,0,0,nan
Wigeon,nan,0,0,0,0,0,nan,nan,0,0,nan
END,END,END,END,END,END,END,END,END,END
