Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Wigeon,nan,324,535,1604,510,1096,nan,Feb,814,814,nan
Canada Goose,nan,493,426,862,1111,446,nan,Oct,668,668,nan
Mute Swan,nan,335,387,452,424,381,nan,Aug,396,396,nan
Mallard,nan,124,407,150,373,666,nan,Jul,344,344,nan
Tufted Duck,nan,513,280,344,291,227,nan,Apr,331,331,nan
Teal,nan,102,108,344,366,545,nan,Jan,293,293,nan
Greylag Goose (British/Irish),nan,173,(171),355,162,403,nan,Sep,273,273,nan
Greylag Goose,nan,173,(171),355,162,403,nan,Sep,273,273,nan
Gadwall,nan,81,98,108,106,172,nan,Aug,113,113,nan
Pochard,nan,15,110,133,9,95,nan,Jan,72,72,nan
Shoveler,nan,24,(35),87,17,55,nan,Dec,46,46,nan
Shelduck,nan,38,25,20,7,5,nan,May,19,19,nan
Goldeneye,nan,10,10,15,29,17,nan,Feb,16,16,nan
Pintail,nan,0,7,2,18,0,nan,nan,5,5,nan
Egyptian Goose,nan,2,2,2,2,2,nan,Nov,2,2,nan
Goosander,nan,1,2,1,2,2,nan,Jan,2,2,nan
Scaup,nan,0,1,0,2,2,nan,Jan,1,1,nan
Common Scoter,nan,1,0,0,0,1,nan,Jan,0,0,nan
Ruddy Duck,nan,0,1,0,0,0,nan,nan,0,0,nan
Smew,nan,0,1,0,0,0,nan,nan,0,0,nan
Velvet Scoter,nan,0,0,0,1,0,nan,nan,0,0,nan
Garganey,nan,0,1,0,0,0,nan,nan,0,0,nan
Black Swan,nan,0,0,0,0,1,nan,Nov,0,0,nan
Bar-headed Goose,nan,0,0,0,1,0,nan,nan,0,0,nan
Barnacle Goose (naturalised),nan,0,0,0,1,0,nan,nan,0,0,nan
Barnacle Goose,nan,0,0,0,1,0,nan,nan,0,0,nan
Red-breasted Merganser,nan,0,0,0,0,0,nan,nan,0,0,nan
Red-crested Pochard,nan,0,0,0,0,0,nan,nan,0,0,nan
Chiloe Wigeon,nan,0,0,0,0,0,nan,nan,0,0,nan
Mandarin Duck,nan,0,0,0,0,0,nan,nan,0,0,nan
END,END,END,END,END,END,END,END,END,END
