Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Pink-footed Goose,nan,(280),(300),(600),175,(250),nan,Nov,321,321,nan
Eider (except Shetland),nan,8,521,225,58,93,nan,Jun,181,181,nan
Eider,nan,8,521,225,58,93,nan,Jun,181,181,nan
Teal,nan,116,152,78,69,63,nan,Feb,96,96,nan
Mallard,nan,66,63,72,66,80,nan,Jan,69,69,nan
Wigeon,nan,3,36,12,57,75,nan,Mar,37,37,nan
Shelduck,nan,3,4,6,10,6,nan,May,6,6,nan
Greylag Goose (Icelandic),nan,0,0,1,1,23,nan,Dec,5,5,nan
Greylag Goose,nan,0,0,1,1,23,nan,Dec,5,5,nan
Red-breasted Merganser,nan,1,1,1,0,1,nan,Feb,1,1,nan
Mute Swan,nan,0,3,1,0,0,nan,nan,1,1,nan
Brent Goose (Svalbard Light-bellied),nan,3,0,0,0,0,nan,nan,1,1,nan
Brent Goose,nan,3,0,0,0,0,nan,nan,1,1,nan
Goldeneye,nan,0,0,0,0,0,nan,nan,0,0,nan
Tufted Duck,nan,0,0,0,0,0,nan,nan,0,0,nan
Whooper Swan,nan,0,0,0,0,0,nan,nan,0,0,nan
Greylag Goose (British/Irish),nan,0,0,0,0,0,nan,nan,0,0,nan
Barnacle Goose (Svalbard),nan,0,0,0,0,0,nan,nan,0,0,nan
Barnacle Goose (Greenland),nan,0,0,0,0,0,nan,nan,0,0,nan
Barnacle Goose (naturalised),nan,0,0,0,0,0,nan,nan,0,0,nan
Barnacle Goose,nan,0,0,0,0,0,nan,nan,0,0,nan
Canada Goose,nan,0,0,0,0,0,nan,nan,0,0,nan
Brent Goose (Light-bellied of Nearctic origin),nan,0,0,0,0,0,nan,nan,0,0,nan
Brent Goose (Light-bellied - hrota),nan,0,0,0,0,0,nan,nan,0,0,nan
Brent Goose (Dark-bellied - bernicla),nan,0,0,0,0,0,nan,nan,0,0,nan
END,END,END,END,END,END,END,END,END,END
