Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Greylag Goose,nan,nan,nan,23,107,105,nan,Jul,78,78,nan
Greylag Goose (British/Irish),nan,nan,nan,8,107,105,nan,Jul,73,73,nan
Greylag Goose (Icelandic),nan,nan,nan,23,12,64,nan,Dec,33,33,nan
Tufted Duck,nan,nan,nan,30,12,15,nan,Dec,19,19,nan
Mallard,nan,nan,nan,9,16,26,nan,Oct,17,17,nan
Teal,nan,nan,nan,3,9,7,nan,Feb,6,6,nan
Wigeon,nan,nan,nan,0,6,0,nan,nan,2,2,nan
Mute Swan,nan,nan,nan,2,2,2,nan,Nov,2,2,nan
Goldeneye,nan,nan,nan,1,1,1,nan,Oct,1,1,nan
Scaup,nan,nan,nan,0,0,1,nan,Oct,0,0,nan
Pochard,nan,nan,nan,0,0,0,nan,nan,0,0,nan
END,END,END,END,END,END,END,END,END,END
