Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Canada Goose,nan,322,153,559,506,1250,nan,Sep,558,558,nan
Mallard,nan,326,251,203,246,230,nan,Nov,251,251,nan
Tufted Duck,nan,84,67,91,142,113,nan,Aug,99,99,nan
Greylag Goose (British/Irish),nan,6,8,30,51,75,nan,Nov,34,34,nan
Greylag Goose,nan,6,8,30,51,75,nan,Nov,34,34,nan
Goosander,nan,7,6,5,10,8,nan,Jan,7,7,nan
Teal,nan,4,2,4,14,6,nan,Jan,6,6,nan
Mute Swan,nan,4,3,2,4,3,nan,Apr,3,3,nan
Wigeon,nan,0,0,1,0,6,nan,Nov,1,1,nan
Goldeneye,nan,2,0,2,0,0,nan,nan,1,1,nan
Shelduck,nan,0,0,0,0,4,nan,Jun,1,1,nan
Pochard,nan,0,0,0,1,0,nan,nan,0,0,nan
Gadwall,nan,0,0,0,1,0,nan,nan,0,0,nan
Shoveler,nan,0,0,0,1,0,nan,nan,0,0,nan
Mandarin Duck,nan,0,1,0,0,0,nan,nan,0,0,nan
Pink-footed Goose,nan,0,0,0,0,1,nan,Oct,0,0,nan
Barnacle Goose (naturalised),nan,0,0,0,0,1,nan,Sep,0,0,nan
Barnacle Goose,nan,0,0,0,0,1,nan,Sep,0,0,nan
Scaup,nan,0,0,0,0,0,nan,nan,0,0,nan
Barnacle Goose (Svalbard),nan,0,0,0,0,0,nan,nan,0,0,nan
Barnacle Goose (Greenland),nan,0,0,0,0,0,nan,nan,0,0,nan
END,END,END,END,END,END,END,END,END,END
