Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Tufted Duck,nan,nan,nan,nan,nan,115,nan,Mar,115,115,nan
Greylag Goose (British/Irish),nan,nan,nan,nan,nan,81,nan,Jun,81,81,nan
Greylag Goose,nan,nan,nan,nan,nan,81,nan,Jun,81,81,nan
Mallard,nan,nan,nan,nan,nan,70,nan,Jun,70,70,nan
Canada Goose,nan,nan,nan,nan,nan,31,nan,Jun,31,31,nan
Goosander,nan,nan,nan,nan,nan,12,nan,Mar,12,12,nan
Teal,nan,nan,nan,nan,nan,12,nan,Feb,12,12,nan
Mute Swan,nan,nan,nan,nan,nan,11,nan,Jun,11,11,nan
Pochard,nan,nan,nan,nan,nan,7,nan,Mar,7,7,nan
Egyptian Goose,nan,nan,nan,nan,nan,3,nan,May,3,3,nan
Domestic Mallard,nan,nan,nan,nan,nan,1,nan,May,1,1,nan
Red-breasted Merganser,nan,nan,nan,nan,nan,0,nan,nan,0,0,nan
Smew,nan,nan,nan,nan,nan,0,nan,nan,0,0,nan
Goldeneye,nan,nan,nan,nan,nan,0,nan,nan,0,0,nan
Scaup,nan,nan,nan,nan,nan,0,nan,nan,0,0,nan
Pintail,nan,nan,nan,nan,nan,0,nan,nan,0,0,nan
Wigeon,nan,nan,nan,nan,nan,0,nan,nan,0,0,nan
Gadwall,nan,nan,nan,nan,nan,0,nan,nan,0,0,nan
Shoveler,nan,nan,nan,nan,nan,0,nan,nan,0,0,nan
Shelduck,nan,nan,nan,nan,nan,0,nan,nan,0,0,nan
Bewick's Swan,nan,nan,nan,nan,nan,0,nan,nan,0,0,nan
White-fronted Goose (European - albifrons),nan,nan,nan,nan,nan,0,nan,nan,0,0,nan
White-fronted Goose,nan,nan,nan,nan,nan,0,nan,nan,0,0,nan
Pink-footed Goose,nan,nan,nan,nan,nan,0,nan,nan,0,0,nan
Tundra Bean Goose,nan,nan,nan,nan,nan,0,nan,nan,0,0,nan
Taiga Bean Goose,nan,nan,nan,nan,nan,0,nan,nan,0,0,nan
Taiga/Tundra Bean Goose,nan,nan,nan,nan,nan,0,nan,nan,0,0,nan
Bar-headed Goose,nan,nan,nan,nan,nan,0,nan,nan,0,0,nan
Barnacle Goose (Svalbard),nan,nan,nan,nan,nan,0,nan,nan,0,0,nan
Barnacle Goose (Greenland),nan,nan,nan,nan,nan,0,nan,nan,0,0,nan
END,END,END,END,END,END,END,END,END,END
