Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Eider (except Shetland),nan,nan,nan,24,141,110,nan,Oct,92,92,nan
Eider,nan,nan,nan,24,141,110,nan,Oct,92,92,nan
Wigeon,nan,nan,nan,70,89,55,nan,Oct,71,71,nan
Mallard,nan,nan,nan,39,77,57,nan,Oct,58,58,nan
Teal,nan,nan,nan,12,18,20,nan,Nov,17,17,nan
Shelduck,nan,nan,nan,8,4,4,nan,Nov,5,5,nan
Red-breasted Merganser,nan,nan,nan,5,8,2,nan,Dec,5,5,nan
Mute Swan,nan,nan,nan,2,2,4,nan,Dec,3,3,nan
Goldeneye,nan,nan,nan,2,0,0,nan,nan,1,1,nan
Pintail,nan,nan,nan,0,0,1,nan,Apr,0,0,nan
Smew,nan,nan,nan,0,0,0,nan,nan,0,0,nan
Long-tailed Duck,nan,nan,nan,0,0,0,nan,nan,0,0,nan
Common Scoter,nan,nan,nan,0,0,0,nan,nan,0,0,nan
Pochard,nan,nan,nan,0,0,0,nan,nan,0,0,nan
Shoveler,nan,nan,nan,0,0,0,nan,nan,0,0,nan
Whooper Swan,nan,nan,nan,0,0,0,nan,nan,0,0,nan
Greylag Goose (Icelandic),nan,nan,nan,0,0,0,nan,nan,0,0,nan
Greylag Goose (British/Irish),nan,nan,nan,0,0,0,nan,nan,0,0,nan
Greylag Goose,nan,nan,nan,0,0,0,nan,nan,0,0,nan
Snow Goose,nan,nan,nan,0,0,0,nan,nan,0,0,nan
Ross's Goose,nan,nan,nan,0,0,0,nan,nan,0,0,nan
Barnacle Goose (Svalbard),nan,nan,nan,0,0,0,nan,nan,0,0,nan
Barnacle Goose (Greenland),nan,nan,nan,0,0,0,nan,nan,0,0,nan
Barnacle Goose (naturalised),nan,nan,nan,0,0,0,nan,nan,0,0,nan
Barnacle Goose,nan,nan,nan,0,0,0,nan,nan,0,0,nan
Brent Goose (Light-bellied of Nearctic origin),nan,nan,nan,0,0,0,nan,nan,0,0,nan
Brent Goose (Svalbard Light-bellied),nan,nan,nan,0,0,0,nan,nan,0,0,nan
Brent Goose (Light-bellied - hrota),nan,nan,nan,0,0,0,nan,nan,0,0,nan
Brent Goose (Dark-bellied - bernicla),nan,nan,nan,0,0,0,nan,nan,0,0,nan
Brent Goose,nan,nan,nan,0,0,0,nan,nan,0,0,nan
END,END,END,END,END,END,END,END,END,END
