Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Mallard,nan,31,nan,nan,nan,59,nan,Sep,45,45,nan
Canada Goose,nan,0,nan,nan,nan,24,nan,Oct,12,12,nan
Whooper Swan,nan,0,nan,nan,nan,13,nan,Feb,7,7,nan
Tufted Duck,nan,0,nan,nan,nan,5,nan,Jan,3,3,nan
Ruddy Duck,nan,0,nan,nan,nan,0,nan,nan,0,0,nan
Goosander,nan,0,nan,nan,nan,0,nan,nan,0,0,nan
Goldeneye,nan,0,nan,nan,nan,0,nan,nan,0,0,nan
Scaup,nan,0,nan,nan,nan,0,nan,nan,0,0,nan
Pochard,nan,0,nan,nan,nan,0,nan,nan,0,0,nan
Teal,nan,0,nan,nan,nan,0,nan,nan,0,0,nan
Pintail,nan,0,nan,nan,nan,0,nan,nan,0,0,nan
Wigeon,nan,0,nan,nan,nan,0,nan,nan,0,0,nan
Gadwall,nan,0,nan,nan,nan,0,nan,nan,0,0,nan
Shoveler,nan,0,nan,nan,nan,0,nan,nan,0,0,nan
Shelduck,nan,0,nan,nan,nan,0,nan,nan,0,0,nan
Mute Swan,nan,0,nan,nan,nan,0,nan,nan,0,0,nan
Brent Goose (Dark-bellied - bernicla),nan,0,nan,nan,nan,0,nan,nan,0,0,nan
Brent Goose,nan,0,nan,nan,nan,0,nan,nan,0,0,nan
END,END,END,END,END,END,END,END,END,END
