Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Wigeon,nan,162,126,69,102,83,nan,Jan,108,108,nan
Canada Goose,nan,77,206,54,29,86,nan,Oct,90,90,nan
Mallard,nan,49,48,81,67,50,nan,Aug,59,59,nan
Tufted Duck,nan,27,32,33,74,90,nan,Dec,51,51,nan
Teal,nan,12,24,5,38,2,nan,Oct,16,16,nan
Mute Swan,nan,5,7,8,7,7,nan,Aug,7,7,nan
Goldeneye,nan,4,2,2,2,0,nan,nan,2,2,nan
Pochard,nan,1,0,0,0,8,nan,Dec,2,2,nan
Scaup,nan,1,2,0,2,0,nan,nan,1,1,nan
Gadwall,nan,0,0,0,1,3,nan,Oct,1,1,nan
Goosander,nan,0,0,0,2,0,nan,nan,0,0,nan
Pintail,nan,0,0,0,2,0,nan,nan,0,0,nan
Shoveler,nan,0,0,1,0,1,nan,Dec,0,0,nan
Hybrid duck,nan,0,0,0,0,0,nan,nan,0,0,nan
Ruddy Duck,nan,0,0,0,0,0,nan,nan,0,0,nan
Lesser Scaup,nan,0,0,0,0,0,nan,nan,0,0,nan
Ring-necked Duck,nan,0,0,0,0,0,nan,nan,0,0,nan
Red-crested Pochard,nan,0,0,0,0,0,nan,nan,0,0,nan
Garganey,nan,0,0,0,0,0,nan,nan,0,0,nan
Mandarin Duck,nan,0,0,0,0,0,nan,nan,0,0,nan
Muscovy Duck,nan,0,0,0,0,0,nan,nan,0,0,nan
Shelduck,nan,0,0,0,0,0,nan,nan,0,0,nan
Whooper Swan,nan,0,0,0,0,0,nan,nan,0,0,nan
Black Swan,nan,0,0,0,0,0,nan,nan,0,0,nan
White-fronted Goose (Greenland - flavirostris),nan,0,0,0,0,0,nan,nan,0,0,nan
White-fronted Goose,nan,0,0,0,0,0,nan,nan,0,0,nan
Tundra Bean Goose,nan,0,0,0,0,0,nan,nan,0,0,nan
Taiga Bean Goose,nan,0,0,0,0,0,nan,nan,0,0,nan
Taiga/Tundra Bean Goose,nan,0,0,0,0,0,nan,nan,0,0,nan
Greylag Goose (British/Irish),nan,0,0,0,0,0,nan,nan,0,0,nan
END,END,END,END,END,END,END,END,END,END
