Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Red-breasted Merganser,nan,27,23,27,20,28,nan,Sep,25,25,nan
Mallard,nan,7,12,16,24,19,nan,Jan,16,16,nan
Wigeon,nan,0,7,11,22,(9),nan,Oct,10,10,nan
Goldeneye,nan,1,4,4,1,1,nan,Nov,2,2,nan
Shelduck,nan,2,2,0,0,2,nan,Apr,1,1,nan
Eider (except Shetland),nan,0,3,2,0,0,nan,nan,1,1,nan
Eider,nan,0,3,2,0,0,nan,nan,1,1,nan
Greylag Goose (Icelandic),nan,3,0,0,2,0,nan,nan,1,1,nan
Greylag Goose,nan,3,0,0,2,0,nan,nan,1,1,nan
Mandarin Duck,nan,0,0,0,1,1,nan,Apr,0,0,nan
Pochard,nan,0,1,0,0,0,nan,nan,0,0,nan
Greylag Goose (British/Irish),nan,0,0,0,0,0,nan,nan,0,0,nan
END,END,END,END,END,END,END,END,END,END
