Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Tufted Duck,nan,nan,nan,nan,4,20,nan,Mar,12,12,nan
Pochard,nan,nan,nan,nan,24,0,nan,nan,12,12,nan
Mallard,nan,nan,nan,nan,7,8,nan,Jul,8,8,nan
Wigeon,nan,nan,nan,nan,5,3,nan,Dec,4,4,nan
Mute Swan,nan,nan,nan,nan,3,3,nan,Dec,3,3,nan
Gadwall,nan,nan,nan,nan,2,0,nan,nan,1,1,nan
Goldeneye,nan,nan,nan,nan,0,1,nan,Nov,1,1,nan
Teal,nan,nan,nan,nan,0,1,nan,Dec,1,1,nan
Domestic Mallard,nan,nan,nan,nan,0,1,nan,Feb,1,1,nan
Shoveler,nan,nan,nan,nan,0,1,nan,Mar,1,1,nan
END,END,END,END,END,END,END,END,END,END
