Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Mallard,nan,210,161,210,182,199,nan,Jan,192,192,nan
Teal,nan,142,(161),170,176,186,nan,Nov,169,169,nan
Greylag Goose (Icelandic),nan,124,144,141,182,151,nan,Jan,148,148,nan
Greylag Goose,nan,124,144,141,182,151,nan,Jan,148,148,nan
Eider (except Shetland),nan,105,114,121,74,84,nan,Feb,100,100,nan
Eider,nan,105,114,121,74,84,nan,Feb,100,100,nan
Wigeon,nan,71,45,45,200,122,nan,Mar,97,97,nan
Red-breasted Merganser,nan,120,81,68,51,64,nan,Jul,77,77,nan
Pink-footed Goose,nan,0,300,1,0,0,nan,nan,60,60,nan
Mute Swan,nan,51,58,51,52,38,nan,Feb,50,50,nan
Greylag Goose (British/Irish),nan,2,59,(32),38,11,nan,Jul,28,28,nan
Shelduck,nan,37,27,21,(21),28,nan,May,28,28,nan
Barnacle Goose (Greenland),nan,0,1,110,0,0,nan,nan,22,22,nan
Barnacle Goose,nan,0,1,110,0,0,nan,nan,22,22,nan
Common Scoter,nan,14,1,8,20,0,nan,nan,9,9,nan
Domestic Greylag Goose,nan,29,2,2,0,0,nan,nan,7,7,nan
Whooper Swan,nan,5,13,0,0,1,nan,Feb,4,4,nan
Canada Goose,nan,3,0,0,10,6,nan,Oct,4,4,nan
Goosander,nan,3,11,1,1,2,nan,Mar,4,4,nan
Goldeneye,nan,4,4,3,2,0,nan,nan,3,3,nan
Tufted Duck,nan,2,0,1,0,0,nan,nan,1,1,nan
Domestic Mallard,nan,0,0,0,0,2,nan,Feb,0,0,nan
Long-tailed Duck,nan,0,1,0,0,0,nan,nan,0,0,nan
Scaup,nan,0,0,0,1,0,nan,nan,0,0,nan
Pochard,nan,0,0,0,0,0,nan,nan,0,0,nan
Pintail,nan,0,0,0,0,0,nan,nan,0,0,nan
Hybrid goose,nan,0,0,0,0,0,nan,nan,0,0,nan
White-fronted Goose (European - albifrons),nan,0,0,0,0,0,nan,nan,0,0,nan
White-fronted Goose (Greenland - flavirostris),nan,0,0,0,0,0,nan,nan,0,0,nan
White-fronted Goose,nan,0,0,0,0,0,nan,nan,0,0,nan
END,END,END,END,END,END,END,END,END,END
