Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Canada Goose,nan,nan,125,140,63,128,nan,Jun,114,114,nan
Greylag Goose (British/Irish),nan,nan,67,82,77,21,nan,Jul,62,62,nan
Greylag Goose,nan,nan,67,82,77,21,nan,Jul,62,62,nan
Mallard,nan,nan,50,58,48,62,nan,Sep,55,55,nan
Mute Swan,nan,nan,18,34,26,34,nan,Jul,28,28,nan
Tufted Duck,nan,nan,8,4,6,2,nan,Dec,5,5,nan
Shoveler,nan,nan,0,5,3,5,nan,Jan,3,3,nan
Domestic Mallard,nan,nan,2,2,1,1,nan,Sep,2,2,nan
Domestic Greylag Goose,nan,nan,1,2,1,1,nan,Jul,1,1,nan
Goosander,nan,nan,0,0,2,2,nan,Jan,1,1,nan
Wigeon,nan,nan,0,0,0,0,nan,nan,0,0,nan
END,END,END,END,END,END,END,END,END,END
