Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Wigeon,nan,187,143,27,105,26,nan,Feb,98,98,nan
Teal,nan,65,126,12,(43),13,nan,Feb,54,54,nan
Common Scoter,nan,110,0,0,0,0,nan,nan,22,22,nan
Shelduck,nan,15,27,22,11,15,nan,Dec,18,18,nan
Mute Swan,nan,16,19,15,23,10,nan,Jul,17,17,nan
Canada Goose,nan,6,3,19,28,22,nan,Oct,16,16,nan
Mallard,nan,9,26,9,21,5,nan,Aug,14,14,nan
Red-breasted Merganser,nan,2,4,4,6,5,nan,Oct,4,4,nan
Goosander,nan,0,0,0,0,0,nan,nan,0,0,nan
Goldeneye,nan,0,0,0,0,0,nan,nan,0,0,nan
Eider (except Shetland),nan,0,0,0,0,0,nan,nan,0,0,nan
Eider,nan,0,0,0,0,0,nan,nan,0,0,nan
Tufted Duck,nan,0,0,0,0,0,nan,nan,0,0,nan
Pochard,nan,0,0,0,0,0,nan,nan,0,0,nan
Pintail,nan,0,0,0,0,0,nan,nan,0,0,nan
Shoveler,nan,0,0,0,0,0,nan,nan,0,0,nan
Whooper Swan,nan,0,0,0,0,0,nan,nan,0,0,nan
Bewick's Swan,nan,0,0,0,0,0,nan,nan,0,0,nan
Brent Goose (Light-bellied of Nearctic origin),nan,0,0,0,0,0,nan,nan,0,0,nan
Brent Goose (Svalbard Light-bellied),nan,0,0,0,0,0,nan,nan,0,0,nan
Brent Goose (Light-bellied - hrota),nan,0,0,0,0,0,nan,nan,0,0,nan
Brent Goose (Dark-bellied - bernicla),nan,0,0,0,0,0,nan,nan,0,0,nan
Brent Goose,nan,0,0,0,0,0,nan,nan,0,0,nan
END,END,END,END,END,END,END,END,END,END
