Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Wigeon,nan,"(3,811)",3993,"(5,048)",4582,2888,nan,Jan,4128,4128,nan
Teal,nan,"(3,049)",2847,"(2,349)","(2,083)",1526,nan,Jan,2443,2443,nan
Canada Goose,nan,1416,"(1,806)",1308,1808,963,nan,Sep,1460,1460,nan
Mallard,nan,1240,1379,970,923,739,nan,Jan,1050,1050,nan
Greylag Goose (British/Irish),nan,476,426,249,268,476,nan,Oct,379,379,nan
Greylag Goose,nan,476,426,249,268,476,nan,Oct,379,379,nan
Shoveler,nan,(222),270,(404),157,186,nan,Jan,248,248,nan
Pintail,nan,(467),302,(273),61,113,nan,Jan,243,243,nan
Tufted Duck,nan,171,145,141,84,80,nan,Feb,124,124,nan
Gadwall,nan,167,114,123,96,109,nan,Mar,122,122,nan
Mute Swan,nan,(72),74,(82),58,62,nan,Jan,70,70,nan
Shelduck,nan,47,(56),55,61,100,nan,Feb,66,66,nan
Pochard,nan,30,28,29,35,17,nan,Feb,28,28,nan
Bewick's Swan,nan,(19),30,(8),(31),8,nan,Jan,23,23,nan
Mandarin Duck,nan,24,20,26,28,16,nan,Dec,23,23,nan
Egyptian Goose,nan,2,4,4,10,12,nan,Apr,6,6,nan
White-fronted Goose (European - albifrons),nan,0,0,0,17,0,nan,nan,3,3,nan
White-fronted Goose,nan,0,0,0,17,0,nan,nan,3,3,nan
Black Swan,nan,1,3,1,2,0,nan,nan,1,1,nan
Ruddy Shelduck,nan,0,2,0,0,2,nan,Jan,1,1,nan
Garganey,nan,(0),3,0,0,0,nan,nan,1,1,nan
Goosander,nan,1,0,0,0,1,nan,Dec,0,0,nan
Barnacle Goose (naturalised),nan,0,0,1,1,0,nan,nan,0,0,nan
Barnacle Goose,nan,0,0,1,1,0,nan,nan,0,0,nan
Cackling Goose,nan,0,0,2,0,0,nan,nan,0,0,nan
Red-breasted Goose,nan,1,1,0,0,0,nan,nan,0,0,nan
Ruddy Duck,nan,0,1,0,0,0,nan,nan,0,0,nan
Red-crested Pochard,nan,1,0,0,0,0,nan,nan,0,0,nan
South African Shelduck,nan,1,0,0,0,0,nan,nan,0,0,nan
Bar-headed Goose,nan,0,1,0,0,0,nan,nan,0,0,nan
END,END,END,END,END,END,END,END,END,END
