Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Greylag Goose (British/Irish),nan,nan,nan,nan,nan,155,nan,Feb,155,155,nan
Greylag Goose,nan,nan,nan,nan,nan,155,nan,Feb,155,155,nan
Tufted Duck,nan,nan,nan,nan,nan,42,nan,Jan,42,42,nan
Mallard,nan,nan,nan,nan,nan,26,nan,Nov,26,26,nan
Pochard,nan,nan,nan,nan,nan,20,nan,Nov,20,20,nan
Domestic Mallard,nan,nan,nan,nan,nan,6,nan,Mar,6,6,nan
Mute Swan,nan,nan,nan,nan,nan,5,nan,Sep,5,5,nan
Canada Goose,nan,nan,nan,nan,nan,2,nan,Dec,2,2,nan
Goldeneye,nan,nan,nan,nan,nan,0,nan,nan,0,0,nan
Teal,nan,nan,nan,nan,nan,0,nan,nan,0,0,nan
Gadwall,nan,nan,nan,nan,nan,0,nan,nan,0,0,nan
Shoveler,nan,nan,nan,nan,nan,0,nan,nan,0,0,nan
Shelduck,nan,nan,nan,nan,nan,0,nan,nan,0,0,nan
Whooper Swan,nan,nan,nan,nan,nan,0,nan,nan,0,0,nan
END,END,END,END,END,END,END,END,END,END
