Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Mallard,nan,11,11,11,9,12,nan,Mar,11,11,nan
Tufted Duck,nan,12,13,7,12,8,nan,Nov,10,10,nan
Gadwall,nan,2,15,6,6,6,nan,Nov,7,7,nan
Canada Goose,nan,0,2,4,4,4,nan,Nov,3,3,nan
Teal,nan,0,2,2,2,4,nan,Nov,2,2,nan
Mute Swan,nan,0,2,1,1,2,nan,Nov,1,1,nan
Greylag Goose (British/Irish),nan,0,0,2,2,0,nan,nan,1,1,nan
Greylag Goose,nan,0,0,2,2,0,nan,nan,1,1,nan
Pochard,nan,0,0,0,0,0,nan,nan,0,0,nan
END,END,END,END,END,END,END,END,END,END
