Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Mallard,nan,74,114,102,112,73,nan,Jul,95,95,nan
Tufted Duck,nan,24,78,61,71,55,nan,Dec,58,58,nan
Canada Goose,nan,86,33,0,0,0,nan,nan,24,24,nan
Mute Swan,nan,2,7,7,11,9,nan,Jul,7,7,nan
Wigeon,nan,0,10,0,2,0,nan,nan,2,2,nan
Shoveler,nan,0,2,0,5,2,nan,Dec,2,2,nan
Gadwall,nan,0,8,0,0,0,nan,nan,2,2,nan
Shelduck,nan,0,0,0,5,0,nan,nan,1,1,nan
Pochard,nan,0,2,0,2,0,nan,nan,1,1,nan
Teal,nan,0,2,0,2,0,nan,nan,1,1,nan
Hooded Merganser,nan,0,0,0,1,1,nan,Dec,0,0,nan
Goldeneye,nan,0,2,0,0,0,nan,nan,0,0,nan
Ring-necked Duck,nan,0,1,0,0,0,nan,nan,0,0,nan
Bar-headed Goose,nan,1,0,0,0,0,nan,nan,0,0,nan
END,END,END,END,END,END,END,END,END,END
