Site,98/99,99/0,0/1,1/2,2/3,3/4,4/5,5/6,6/7,7/8,8/9,9/10,10/11,11/12,12/13,13/14,14/15,15/16,16/17,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Somerset Levels,(733),(733),"(1,011)","(1,011)",1110,1110,1084,1084,1098,1098,(733),(733),"(1,011)","(1,011)",1110,1110,1084,1084,1098,1098,Dec,1097,1097
Loughs Neagh and Beg,2422,2422,2016,2016,1950,1950,1423,1423,1510,1510,2422,2422,2016,2016,1950,1950,1423,1423,1510,1510,Sep,1864,1025
Fleet and Wey,1141,1141,1177,1177,1150,1150,1228,1228,1368,1368,1141,1141,1177,1177,1150,1150,1228,1228,1368,1368,Jan,1213,920
Upper Lough Erne,351,351,328,328,445,445,306,306,323,323,351,351,328,328,445,445,306,306,323,323,Dec,351,636
Loch Leven,423,423,406,406,496,496,506,506,550,550,423,423,406,406,496,496,506,506,550,550,Sep,476,580
Loch Bee (South Uist),nan,nan,341,341,343,343,200,200,297,297,nan,nan,341,341,343,343,200,200,297,297,Mar,295,485
Rutland Water,469,469,617,617,547,547,590,590,594,594,469,469,617,617,547,547,590,590,594,594,Aug,563,452
Severn Estuary,299,299,248,248,337,337,339,339,284,284,299,299,248,248,337,337,339,339,284,284,Nov,301,420
Ouse Washes,(663),(663),662,662,726Supplementary visit under the WeBS Core Count SurveyWeBS,726Supplementary visit under the WeBS Core Count SurveyWeBS,"1,110Supplementary visit under the WeBS Core Count SurveyWeBS","1,110Supplementary visit under the WeBS Core Count SurveyWeBS",782Supplementary visit under the WeBS Core Count SurveyWeBS,782Supplementary visit under the WeBS Core Count SurveyWeBS,(663),(663),662,662,726Supplementary visit under the WeBS Core Count SurveyWeBS,726Supplementary visit under the WeBS Core Count SurveyWeBS,"1,110Supplementary visit under the WeBS Core Count SurveyWeBS","1,110Supplementary visit under the WeBS Core Count SurveyWeBS",782Supplementary visit under the WeBS Core Count SurveyWeBS,782Supplementary visit under the WeBS Core Count SurveyWeBS,Nov,820,398
Aqualate Mere,64,64,11,11,23,23,5,5,27,27,64,64,11,11,23,23,5,5,27,27,Oct,26,396
Cotswold Water Park,256,256,227,227,175,175,307,307,237,237,256,256,227,227,175,175,307,307,237,237,Oct,240,393
Abberton Reservoir,512,512,520,520,328,328,187,187,387,387,512,512,520,520,328,328,187,187,387,387,Aug,387,366
